reaction   FLUX    DeltaG
4MCO2D_f                 0.00000              -249.83742
4OT_f                 0.00000                 0.00045
5DOAN                 0.00000               -22.82258
6PHBG                 0.00000                47.20191
6PHBG2                 0.00000                54.20191
AABTN                 0.00000               -20.52532
AB6PGH                 0.00000                54.20191
ABTA                 0.00000                10.00065
ABTAr                 0.00000                10.00065
ABUTD                 0.00000               -66.67263
ABUTDy                 0.00000               -23.98646
ACACT1r_f                 0.00103               -45.94899
ACACT2r_f                 0.00000                -5.22450
ACACT7r_f                 0.00000                -4.82450
ACALD                 0.00000                -7.03847
ACGAMT                 0.00000                12.62067
ACGApts_f                 0.00000                 0.30000
ACGS                 0.00000               -51.22514
ACHBS                 0.00441               -32.47550
ACLDC                 0.05720                -1.50000
ACLS                 1.00800               -40.28880
ACMANAptspp                 0.00000               -37.02450
ACNMLr_f                 0.00000                14.61292
ACOAD1                 0.00000               -38.38737
ACOAD3                 0.00000               -44.18737
ACOAD5                 0.00000               -44.18737
ACOAD6                 0.00000               -44.18737
ACOAD7                 0.00000               -47.78737
ACOADH2_f                 0.00000              -317.21742
ACODA                 0.00000                -9.42468
ACOTA_f                 0.00000                 1.50000
ACTD2_f                 0.05720                -1.50000
ADA                 0.00001               -25.92258
ADAPAT_f                 0.00000               -41.52385
ADCL                 0.00002               -71.58708
ADCS                 0.00002               -34.50000
ADK1_f                 4.25368               -35.77450
ADKd_f                 0.00000                68.94899
ADNCYC                 0.00000                -9.02450
ADNUC                 0.00000               -15.72258
ADPT                 0.00000                -1.73742
ADSK                 0.00000               -39.52450
ADSL1_f                 0.13126                -1.50000
ADSL2r_f                 0.00000                77.14899
ADSS                 0.13126                -1.50000
AGDC_r_f                 0.00000               -10.12532
AGPAT140d                 0.00000                -3.60000
AGPR_f                 0.00000                 1.50000
AHCYSNS                 0.00001               -26.12258
AICART_f                 0.00312                -5.96450
AKGDa                 0.00000               -70.72450
AKGDb                 0.00000                -4.26258
ALAALAr_f                 0.00000               -14.90000
ALAASPtr                 0.00000               -25.09258
ALAD_L                 0.00000                -5.68421
ALAGLUt                 0.00000               -25.09258
ALATA_D_f                 0.00000                 3.17615
ALCD1_f                 0.00000                18.48737
ALCD19_f                 0.00000               -11.53713
ALCD2x_f                 0.00000                 9.47029
ALDD22x                 0.00000               -24.84813
ALDD2x                 0.00000               -66.18829
ALDD31_f                 0.00000               -59.47263
ALPHNH                 0.00000               -78.44775
AMANAPEr_f                 0.00000               -33.52450
AMAOTr_f                 0.00000                -0.58271
AMID                 0.00000                -4.72258
AMID3                 0.00000                -6.32258
AMID4                 0.00000               -11.42532
AMPEP10_f                 0.00000                21.20191
AMPEP13_f                 0.00000                58.82641
AMPTASECG                 0.00000                 0.57742
ANPRT                 0.00187               -44.23742
ANS                 0.00000              -106.18708
ANS2                 0.00187               -81.86450
AOBUTDs                 0.00000               -23.96258
AOXSr_f                 0.00000               -24.78708
APAT_f                 0.00000               -22.98450
APG3PAT140a                 0.00000                -9.66258
APRAUR                 0.00000                20.54904
APRTO2                 0.00000               -85.72258
ARABR_f                 0.00000                42.67354
ARGDr                 0.00000                 5.80191
ARGN                 0.00000               -42.28517
ARGSL_f                 1.94400                -1.50000
ASNN                 0.55532               -10.12258
ASNS1                 0.00000               -67.78450
ASP1DC                 0.00002               -24.16258
ASPabc                 1.09600               -25.09258
ASPKi                 0.00506               -12.32450
ASPT_f                 0.00000                 8.90000
ASPTA_f                 1.75574               -29.42385
AT_MBD_f                 0.00000                 2.80000
AT_MBD1_f                 0.00000                 2.80000
AT_MBD2_f                 0.00000                 2.80000
ATPM                 7.50000               -25.09258
BETALDHx                 0.00000               -55.87263
BETALDHy                 0.00000               -13.18646
BETALOD_f                 0.00000              -107.26000
BTNt                 0.00000               -25.09258
CA2abc                 0.00017               -60.71708
CAT                 1.03993              -169.21742
CGLYabc                 0.00000               -25.09258
CHLabc                 0.00000               -25.09258
CHOLD                 0.00000                 2.58737
CHOLOD_f                 0.00000               -48.00000
CHOLSabc                 0.00000               -25.09258
CHORM                 0.01063               -13.37550
CITL                 0.00000                17.73468
CLPNS160_f                 0.00000                28.52450
CPPPGO                 0.00034              -345.54258
CRNabc                 0.00000               -25.09258
CTBTabc                 0.00000               -25.09258
CTPS1                 1.91596                -1.50000
CTPS2                 0.00000               -25.12258
Cut1                 0.00000               -60.71708
CYSabc                 0.00809               -60.71708
CYSDS                 0.00000                 9.59034
CYSGL                 0.00000               -24.31241
CYSS                 0.00000               -34.60274
CYSTGL                 0.00000                -0.07550
CYSTL                 1.35706                -1.50000
CYSTSr_f                 1.35200               -41.61158
CYTBD2                11.04000              -132.82372
CYTD                 0.00000               -17.42258
CYTK1_f                 0.22641               -35.92450
CYTK2_f                 0.00000                 1.50000
DADA5_f                 0.00000               -12.32258
DADK_f                 0.00000                 1.50000
DAPDA_f                 0.00000               -44.94982
DAPDC                 0.00000               -57.78708
DAPE_f                 0.00000                33.92450
DATPHs                 0.00000               -16.52258
DB4PS                 0.00002               -33.63809
DBTS                 0.00000                42.30000
DCMPDA                 0.00000               -27.32258
DCYTD                 0.00000               -24.62258
DDGLK                 0.00000               -44.52450
DGK1_f                 0.00000               -28.12450
DGLUO_f                 0.00000                -3.41263
DHAD1                 0.95080               -22.54000
DHAD2                 0.00000               -22.54000
DHAD3                 0.00441               -22.54000
DHAK                 0.00000               -29.23742
DHAPT                 0.00000               -30.73742
DHDPRy_f                 0.00000                87.69804
DHDPS                 0.00000               -57.86842
DHFR_f                 0.00000                49.67354
DHFS                 0.00002               -46.62514
DHNPA2_f                 0.00002                -1.50000
DHORD                 2.07987               -89.37550
DHORD5                 0.00000               -19.00000
DHORTS_f                 0.00000                 1.50000
DHPS2                 0.00002               -47.23742
DHQD_f                 0.01253                -1.50000
DMATT                 0.00033               -61.33742
DNMPPA                 0.00000                53.22641
DPMVD                 0.00103               -56.74966
DPR_f                 0.00000                11.04904
DRBabc                 0.00000               -25.09258
DRPA                 0.00000                 1.50000
DRPAr_f                 0.00000                 1.50000
DTMPK_f                 0.00067               -37.92450
E4PD_f                 0.00000               -65.37263
ECOAH1_f                 0.00000                16.86000
ECOAH3_f                 0.00000                13.96000
ECOAH7_f                 0.00000                13.96000
EDA                 0.00000                23.70000
EHGLAT_f                 0.00000                -6.99935
FACOAL160                 0.00000               -29.86191
FBA2_f                 0.00000                42.22450
FBA3_f                 5.83958                -1.50000
FDFP_f                 0.00000              -141.23742
FDH                 0.00000               -74.93713
FE2abc                 0.00000               -25.09258
FECRMabc                 0.00000               -25.09258
FERO_f                 0.00000                75.88057
FF_26_f                 0.00000               -37.82450
FFSD                 0.00000                 6.10191
FLDO                 0.00000               -56.27354
FLVR                 0.00000               -75.69804
