reaction   FLUX    DeltaG
ARGSL_b                 0.00000                 1.50000
ASPT_b                 4.27257                -8.90000
ASPTA_b                 0.00000                29.42385
AT_MBD_b                 0.00000                -2.80000
AT_MBD1_b                 0.00000                -2.80000
AT_MBD2_b                 0.00000                -2.80000
BETALOD_b                 0.00000               107.26000
CHOLOD_b                 0.00000                48.00000
CLPNS160_b                 0.00000               -28.52450
CYSTSr_b                 0.00000                41.61158
CYTK1_b                 0.00000                35.92450
CYTK2_b                 0.01744                -1.50000
DADA5_b                 0.00001                12.32258
DADK_b                 0.02501                -1.50000
DAPDA_b                 0.00000                44.94982
DAPE_b                 0.00000               -33.92450
DGK1_b                 0.00000                28.12450
DGLUO_b                 0.00000                 3.41263
DHDPRy_b                 0.00000               -87.69804
DHFR_b                 0.02471               -49.67354
DHNPA2_b                 0.00000                 1.50000
DHORTS_b                 2.07987                -1.50000
DHQD_b                 0.00000                 1.50000
DPR_b                 0.00002               -11.04904
DRPAr_b                 0.04445                -1.50000
DTMPK_b                 0.00000                37.92450
E4PD_b                 0.00000                65.37263
ECOAH1_b                 0.00000               -16.86000
ECOAH3_b                 0.00000               -13.96000
ECOAH7_b                 0.00000               -13.96000
EHGLAT_b                 0.00000                 6.99935
FBA2_b                 0.00000               -42.22450
FBA3_b                 0.00000                 1.50000
FDFP_b                 0.00000               141.23742
FERO_b                 0.00014               -75.88057
FF_26_b                 0.00000                37.82450
FRUpts_b                 0.00000                40.02450
G1SAT_b                 0.00269                -9.00000
G3PD2_b                 0.45618               -53.99804
G6PDH2r_b                 0.00000                 1.50000
GAL6PI_b                 0.00000                 1.50000
GALKr_b                 0.00000                38.02450
GALpts_b                 0.00000                42.22450
GALTpts_b                 0.00000                41.82450
GAMpts_b                 0.39834                -1.50000
GARFT_b                 0.00000               -15.10000
GF6PTAr_b                 0.00000                 4.57550
GHMT2r_b                 0.03292                -4.39096
GK1_b                 0.00000                36.52450
GLCOAD_b                 0.00000               -15.83742
GLTPD_b                 0.00000                -1.08737
GLUR_b                 0.00000                 1.50000
GLXO1_b                 0.00000                46.87263
GLYALDDr_b                 0.00000                70.57263
GLYD_b                 0.00000                16.18737
GUI1_b                 0.00000                -0.60000
HACD1_b                 0.00000                -0.88737
HACD2_b                 0.00000                -3.48737
HACD3_b                 0.00000                -3.58737
HACD4_b                 0.00000                -3.58737
HACD5_b                 0.00000                -3.58737
HACD6_b                 0.00000                -3.58737
HACD7_b                 0.00000                 3.58737
HACD9_b                 0.00000                -3.58737
HADPCOADH3_b                 0.00000                -3.58737
HCO3E_b                 0.00000                 9.46000
HIBD_b                 0.00000                -5.98737
HISabc_b                 0.00000                25.09258
HISDr_b                 0.00000               -30.53742
HSDy_b                 0.00506               -50.17354
HSTPTr_b                 0.00312               -19.72323
ICHORS_b                 0.00000                -0.90000
ILETA_b                 0.00000                38.02385
IMACTD_b                 0.00000                57.17263
IMPC_b                 0.00312                -1.50000
IPDDI_b                 0.00000                 4.80000
IPPMIa_b                 0.00000               -10.66000
IPPMIb_b                 0.00000               -14.76000
LACpts_b                 0.00000                41.02450
LDH_D_b                 0.00000                -9.66287
LDH_L_b                12.84686               -12.76287
LEUTA_b                 0.00000                31.82385
MALT_b                 0.00000                22.62258
MALTpts_b                 0.00000                37.42450
MANAO_b                 0.00000                -1.48737
MANpts_b                 0.00000                42.62450
MNLpts_b                 0.00000                41.12450
MTHFC_b                 0.00000                 7.96000
MTHFD_b                 0.00000                 1.50000
NA6PH_b                 0.00000               -24.00191
NAPRTr_b                 0.00009               -37.16191
NBAH_b                 0.00000                 8.72258
NDPK1_b                 0.00000                 2.00000
NDPK2_b                 0.00000                33.52450
NDPK3_b                 0.00000                35.32450
NDPK4_b                 0.00000                 1.50000
NDPK5_b                 0.00000                36.42450
NDPK6_b                 0.00000                 1.00000
NDPK7_b                 0.00000                67.44899
NDPK8_b                 0.00000                67.54899
NO3R2_b                 0.00000                80.47951
NPHSr_b                 0.00000               102.06258
OBTFL_b                 0.00000               -31.62450
ORNTAr_b                 0.00000               -34.88773
ORPT_b                 0.00000                 1.50000
PAPPT2_b                 0.00000               -34.12450
PDHbr_b                 0.00000                25.72450
PEPC_b                 1.75574                -3.12450
PGAMT_b                 0.16796                -1.50000
PGCDr_b                 0.00000                -0.78737
PGLer_b                 0.00000                 1.50000
PGMT_b                 0.11919                -1.50000
PMANM_b                 0.00000                -4.50000
PPM_b                 0.00000                13.80000
PPM2_b                 0.04445                -1.50000
PRAI_b                 0.00000                 9.80000
PRMICIi_b                 0.00000                45.42450
PUTA3_b                 0.00000                96.59648
PYK3_b                 0.00000                 3.50000
RAFH_b                 0.00000                32.52258
RE0453C_b                 0.00000               -65.94899
RETOx_b                 0.00000                 4.11263
RPE_b                 0.00000                 3.11292
RPI_b                 3.47271                -4.40000
RSLML_b                 0.00000               -29.43742
S7PIr_b                 0.00000                -2.20000
SBTpts_b                 0.00000                43.92450
SERAT_b                 0.00000                76.84899
SHK3Dr_b                 0.01253               -62.33804
SUCpts_b                 0.00000                47.32450
TALA_b                 4.55759                -7.51292
TGBPA_b                 0.00000               -35.41158
THRAr_b                 0.01276               -19.25034
TKT1_b                 1.28199                -1.50000
TKT2_b                 1.26946                -1.50000
TMDPP_b                 0.00000                29.48708
TPI_b                 5.38340                -1.50000
TREpts_b                 0.00000                48.72450
TRSARr_b                 0.00000                17.78737
TYRTA_b                 0.00454                -3.90065
UAG2E_b                 0.00000                 1.50000
UAG4E_b                 0.00000                 1.50000
UDNDMx_b                 0.00000                78.38909
UDPG4E_b                 0.00000                -1.30000
UGLT_b                 0.00000               -24.12450
UMPK_b                 0.00000                71.94899
UPPDC2_b                 0.00000                50.65034
UPPRTr_b                 0.02469                -1.50000
URCN_b                 0.00000               -24.06000
VALTA_b                 0.94202                -5.20065
XYLOD_b                 0.00000                 6.11263
