reaction   FLUX    DeltaG
4OT_f                 0.00000                 0.00045
5DOAN                 0.00000               -14.40000
6PHBG                 0.00000                41.69640
6PHBG2                 0.00000                62.62450
AABTN                 0.00000               -12.10274
AB6PGH                 0.00000                62.62450
ABTA                 0.00000                34.12089
ABTAr                 0.00000                34.12089
ABUTD                 0.00000               -36.42450
ABUTDy                 0.00000               -16.46000
ACACT1r_f                 0.00103                -1.50000
ACACT2r_f                 0.00000                17.00000
ACACT7r_f                 0.00000                17.40000
ACALD                 0.00000               -11.57362
ACGAMT                 0.00000               -31.50520
ACGApts_f                 0.00000               -36.70000
ACGS                 0.00000               -58.34348
ACHBS                 0.00000               -30.63742
ACLDC                 0.05312                -1.50000
ACLS                 0.15384               -38.63742
ACMANAptspp                 0.00000               -38.40000
ACNMLr_f                 0.00000                13.23742
ACOAD1                 0.00000               -57.33190
ACOAD3                 0.00000               -63.13190
ACOAD5                 0.00000               -63.13190
ACOAD6                 0.00000               -63.13190
ACOAD7                 0.00000               -66.73190
ACOADH2_f                 0.00000              -334.06258
ACODA                 0.00000                21.41815
ACOTA_f                 0.00000                24.62089
ACTD2_f                 0.05312                -1.50000
ADA                 0.00001               -23.48695
ADAPAT_f                 0.00000               -17.40360
ADCL                 0.00002               -70.08156
ADCS                 0.00002               -17.90000
ADK1_f                 3.17668               -35.77450
ADKd_f                 0.00000                33.32450
ADNCYC                 0.00000                 8.83742
ADNUC                 0.00000                -7.30000
ADPT                 0.00000                 5.22450
ADSK                 0.00000               -36.64348
ADSL1_f                 0.13126                -1.50000
ADSL2r_f                 0.00000                77.14899
ADSS                 0.13126                -1.50000
AGDC_r_f                 0.00000                 2.49726
AGPAT140d                 0.00000                -3.60000
AGPR_f                 0.00000                -3.73742
AHCYSNS                 0.00001               -17.70000
AICART_f                 0.00312               -14.05314
AKGDa                 0.00000               -78.36552
AKGDb                 0.00000                -9.69069
ALAALAr_f                 0.00000               -17.44708
ALAASPtr                 0.00000               -19.21708
ALAD_L                 0.00000                17.20147
ALAGLUt                 0.00000               -19.21708
ALATA_D_f                 0.00000                25.92089
ALCD1_f                 0.00000                37.43190
ALCD19_f                 0.00000                 7.40740
ALCD2x_f                 0.00000                29.67000
ALDD22x                 0.00000               -30.22450
ALDD2x                 0.00000               -37.19534
ALDD31_f                 0.00000               -29.22450
ALPHNH                 0.00000               -78.19289
AMANAPEr_f                 0.00000                 2.10000
AMAOTr_f                 0.00000                -0.58271
AMID                 0.00000                 0.59407
AMID3                 0.00000                -1.00593
AMID4                 0.00000                -6.10867
AMPEP10_f                 0.00000                29.62450
AMPEP13_f                 0.00000                67.24899
AMPTASECG                 0.00000                 9.00000
ANPRT                 0.00187               -37.27550
ANS                 0.00000               -88.08156
ANS2                 0.00187               -85.67563
AOBUTDs                 0.00000               -23.50000
AOXSr_f                 0.00000               -24.32450
APAT_f                 0.00000                 7.66258
APG3PAT140a                 0.00000               -24.64348
APRAUR                 0.00000                52.39640
APRTO2                 0.00000               -80.40593
ARABR_f                 0.00000                38.89640
ARGDr                 0.00000               -16.52491
ARGN                 0.00000               -11.97911
ARGSL_f                 0.86733                -1.50000
ASNN                 0.83795                -4.80593
ASNS1                 0.00000               -22.01898
ASP1DC                 0.00002               -59.32450
ASPabc                 1.09600               -19.21708
ASPKi                 0.00506               -14.31158
ASPT_f                 0.00000                 5.79407
ASPTA_f                 1.75574                -1.50000
AT_MBD_f                 0.00000                 2.80000
AT_MBD1_f                 0.00000                 2.80000
AT_MBD2_f                 0.00000                 2.80000
ATPM                 7.50000               -19.21708
BETALDHx                 0.00000               -25.62450
BETALDHy                 0.00000                -5.66000
BETALOD_f                 0.00000               -95.95640
BTNt                 0.00000               -19.21708
CA2abc                 0.00017               -54.84158
CAT                 1.03993              -186.06258
CGLYabc                 0.00000               -19.21708
CHLabc                 0.00000               -19.21708
CHOLD                 0.00000                21.53190
CHOLOD_f                 0.00000               -48.00000
CHOLSabc                 0.00000               -19.21708
CHORM                 0.01063               -49.00000
CITL                 0.00000                21.53828
CLPNS160_f                 0.00000                28.52450
CPPPGO                 0.00034              -361.46258
CRNabc                 0.00000               -19.21708
CTBTabc                 0.00000               -19.21708
CTPS1                 1.91596               -33.68463
CTPS2                 0.00000               -35.39056
Cut1                 0.00000               -54.84158
CYSabc                 0.00809               -54.84158
CYSDS                 0.00000                13.53148
CYSGL                 0.00000               -17.49024
CYSS                 0.00000               -31.72172
CYSTGL                 0.00000                 1.30000
CYSTL                 1.16537                -1.50000
CYSTSr_f                 1.16032               -46.09301
CYTBD2                11.04000              -146.14256
CYTD                 0.00000               -16.06797
CYTK1_f                 0.22641               -34.22450
CYTK2_f                 0.00000                 1.50000
DADA5_f                 0.00000                -9.88695
DADK_f                 0.00000                 1.50000
DAPDA_f                 0.00000               -36.52724
DAPDC                 0.00000               -57.32450
DAPE_f                 0.00000                33.92450
DATPHs                 0.00000               -49.71145
DB4PS                 0.00002               -30.75707
DBTS                 0.00000                42.17136
DCMPDA                 0.00000               -24.88695
DCYTD                 0.00000               -22.18695
DDGLK                 0.00000               -41.64348
DGK1_f                 0.00033               -28.22450
DGLUO_f                 0.00000                15.53190
DHAD1                 0.10072               -30.96258
DHAD2                 0.00000               -30.96258
DHAD3                 0.00000               -30.96258
DHAK                 0.00000               -26.64348
DHAPT                 0.00000               -32.40000
DHDPRy_f                 0.00000                48.29640
DHDPS                 0.00000              -106.08156
DHFR_f                 0.00000                81.52089
DHFS                 0.00002               -10.14708
DHNPA2_f                 0.00002                13.13742
DHORD                 2.07987               -89.37550
DHORD5                 0.00000               -19.00000
DHORTS_f                 0.00000                 2.64360
DHPS2                 0.00002               -65.00000
DHQD_f                 0.01253                -1.50000
DMATT                 0.00033               -43.47550
DNMPPA                 0.00000                20.59640
DPMVD                 0.00103               -58.83416
DPR_f                 0.00000                42.89640
DRBabc                 0.00000               -19.21708
DRPA                 0.00000                 1.50000
DRPAr_f                 0.00000                 1.50000
DTMPK_f                 0.00067               -37.92450
E4PD_f                 0.00000               -35.12450
ECOAH1_f                 0.00000                 8.43742
ECOAH3_f                 0.00000                 5.53742
ECOAH7_f                 0.00000                 5.53742
EDA                 0.00000                22.03742
EHGLAT_f                 0.00000                17.12089
FACOAL160                 0.00000               -12.00000
FBA2_f                 0.00000                41.93742
FBA3_f                 6.56852                -1.50000
FDFP_f                 0.00000              -123.37550
FDH                 0.00000               -55.53002
FE2abc                 0.00000               -54.84158
FECRMabc                 0.00000               -19.21708
FERO_f                 0.00000                47.51132
FF_26_f                 0.00000               -39.20000
FFSD                 0.00000                 0.59640
FLDO                 0.00000               -52.49640
FLVR                 0.00000               -71.92089
FLVRx                 0.00000               -52.35640
FMNRx                 0.00000               -32.43190
FRTT                 0.00000               -45.07550
FRUK                 0.00000               -38.34348
FRUpts_f                 0.00000               -41.40000
FTHFCL                 0.00000               -67.64708
FTHFL                 0.00000               -46.35260
G1PACT                 0.16039                -9.67550
G1SAT_f                 0.00000                44.62450
G3PD                 0.00000               -10.64348
G3PD2_f                 0.00000                34.95292
G3PD6                 0.00000               -51.36797
G5SAD                 0.00000               -15.08156
G6PDA                 0.00000                13.08801
G6PDH2r_f                 5.03303                -1.50000
G6PI3                 0.00000               -35.83056
G6PP                 0.00220                -1.50000
GAL6PI_f                 0.00000                -1.50000
GALabcpp                 0.00000               -54.84158
GALKr_f                 0.00000               -35.14348
GALpts_f                 0.00000               -43.60000
GALS3                 0.00000                 1.70000
GALTpts_f                 0.00000               -43.20000
GALUi                 0.11919               -30.27742
GAMpts_f                 0.00000               -31.30000
GARFT_f                 0.00000                17.98102
GCALDD                 0.00002               -50.02450
GF6PTAr_f                 0.16796               -14.69394
GGTT                 0.00000               -45.07550
GHMT2r_f                 0.00000                14.62810
GK1_f                 0.00199               -36.52450
GLCOAD_f                 0.00000                16.30000
GLCRAL                 0.00000                30.83742
GLCRD                 0.00000               -35.06258
GLGC                 0.00000               -34.47742
GLN_NAct                 2.33040               -54.84158
GLNS                 0.00000               -17.54115
GLNSP2                 0.00000               -14.94115
GLTPD_f                 0.00000                20.03190
GLUabc                 0.00000               -19.21708
GLUDx                 0.00000                25.37507
GLUPRT                 0.00000               -37.07550
GLUR_f                 2.85411                -1.50000
GLUSx                 2.15064               -27.01101
GLUSy                 0.00000               -46.97550
GLXIII                 0.00000               -47.55640
GLXO1_f                 0.00000               -16.62450
GLYALDDr_f                 0.00000               -40.32450
GLYASNabc                 0.00000               -19.21708
GLYASPtr                 0.00000               -19.21708
GLYAT                 0.00000                21.90000
GLYC3Pabc                 0.00000                 2.72640
GLYD_f                 0.00000               -35.13190
GLYGLUtr                 0.00000               -19.21708
GLYOX                 0.00000               -18.21898
GLYPRO__Ltr                 0.00000               -19.21708
GMHEPAT                 0.00000               -25.98102
GMHEPK                 0.00000               -30.44348
GMHEPPA                 0.00000                20.59640
GND                 5.03303                -4.82810
GNNUC                 0.00000                33.82450
GRTT                 0.00033               -45.07550
GTHRDHpp                 0.00000                33.82450
GUAPRT                 0.13014               -42.00000
GUI1_f                 0.00000                 0.60000
HACD1_f                 0.00000                19.83190
HACD2_f                 0.00000                22.43190
HACD3_f                 0.00000                22.53190
HACD4_f                 0.00000                22.53190
HACD5_f                 0.00000                22.53190
HACD6_f                 0.00000                22.53190
HACD7_f                 0.00000               -22.53190
HACD9_f                 0.00000                22.53190
HADPCOADH3_f                 0.00000                22.53190
HBZOPT                 0.00000               -48.77550
HCO3E_f                 0.15100                -1.50000
HCYSMT                 0.00000               -74.62450
HEMEti                 0.00000               -19.21708
HEXTT                 0.00000               -45.07550
HIBD_f                 0.00000                24.93190
HISabc_f                 0.00000               -19.21708
HISDr_f                 0.00000                27.43148
HISTD                 0.00312                -1.50000
HMBS                 0.00034              -225.12172
HMGCOARi                 0.00103               -45.05537
HMGCOAS                 0.00000               -21.45640
HMGCOASi                 0.00103               -21.45640
HSDy_f                 0.00000                46.39640
HSERTA                 0.00506               -41.40000
HSTPTr_f                 0.00000                36.64159
HXPRT                 0.00000                19.75844
ICHORS_f                 0.00000                 0.90000
ICHORT                 0.00000               -41.40000
IGPDH                 0.00312               -36.56258
IGPS                 0.00187               -72.76258
ILETA_f                 0.22550               -13.90360
IMACTD_f                 0.00000               -26.92450
IMPC_f                 0.00000                 1.50000
IMPD                 0.00000                -6.33946
INSH                 0.00000                -6.80000
IPDDI_f                 0.00033                -4.80000
IPMD                 0.00000                22.53190
IPPMIa_f                 0.00000                 2.23742
IPPMIb_f                 0.00000                 6.33742
IPPS                 0.00000               -29.35640
Kabc                 0.00000               -54.84158
KARA1                 0.00000               -42.49640
KARA1i                 0.10072               -42.49640
KARA2i                 0.00000               -42.49640
KAS13                 0.01827             -1164.25796
KAS17                 0.00000             -1080.96156
KAS8                 0.00703             -1023.27808
LACpts_f                 0.00000               -42.40000
LCADi                 0.00000               -35.52450
LDH_D_f                 0.00000                27.23190
LDH_L_f                 0.00000                30.33190
LEUTA_f                 0.05893                -7.70360
LPLIPAL1G180pp                 0.00000                -3.81898
LPLIPAL2E160                 0.00000               -13.01898
LPLIPAL2G160                 0.00000               -13.01898
LPLIPAL2G180                 0.00000               -10.51898
LYSabc                 0.00000               -54.84158
LYSDC                 0.00000               -28.70000
M1PD                 0.00000                18.02584
MALT_f                 0.00000               -14.20000
MALTabc                 0.00000               -19.21708
MALTAT                 0.00000               -16.40000
MALTHXabc                 0.00000               -19.21708
MALTpts_f                 0.00000               -38.80000
MALTTRabc                 0.00000               -19.21708
MAN6PI                 0.00000                 2.89394
MANAO_f                 0.00000                20.43190
MANpts_f                 0.00000               -44.00000
MBCOA3                 0.00000              -339.06258
MDRPD                 0.00000               -35.06258
ME1_rev                 0.00000                12.13190
METabc                 0.00000               -54.84158
METALAtr                 0.00000               -19.21708
METDabc                 0.00000               -19.21708
METSOX1abc                 0.00000               -19.21708
METSOX2abc                 0.00000               -19.21708
MEVK2                 0.00000                -1.01898
MEVK3                 0.00000               -34.34348
MEVK4                 0.00000               -34.84348
MG2abc                 0.00000               -54.84158
MHPGLUT                 0.00000               -74.62450
MLTG1                 0.00000               -15.00000
MMSAD3                 0.00000               -18.50552
MNabc                 0.00000               -54.84158
MNLpts_f                 0.00000               -42.50000
MNNH                 0.00000               -29.06258
MOBDabc                 0.00000               -54.84158
MOHMT                 0.00002               -21.19640
MTAN                 0.00000               -15.50000
MTHFC_f                 0.00312                -1.50000
MTHFD_f                 0.00312                -1.50000
MTRK                 0.00000               -23.84348
NA6PH_f                 0.00000                -3.20000
NABTNO                 0.00000               -26.72450
NADH10                 0.00000               -66.35640
NADH7                 0.00000               -66.35640
NALN6                 0.00000                37.62450
NAPRTr_f                 0.00000                33.08102
NBAH_f                 0.00000                -0.30000
NDPK1_f                 0.13325                -2.00000
NDPK2_f                 2.15740                -1.50000
NDPK3_f                 0.20929               -35.32450
NDPK4_f                 0.00069               -33.32450
NDPK5_f                 0.00000               -36.32450
NDPK6_f                 0.00000               -36.62450
NDPK7_f                 0.00000               -33.42450
NDPK8_f                 0.00000               -31.92450
NDPK9                 0.00000               -34.32450
NIabc                 0.00001               -54.84158
NNAM                 0.00000                42.71856
NO3R2_f                 3.60760               -93.79835
NO3R2pp                 0.00000              -125.14979
NODOx                 1.80380              -406.39569
NODOy                 0.00000              -426.96019
NOPD                 0.00000                46.40000
NPHSr_f                 0.00000              -102.06258
NTP11                 0.00000                 9.27742
NTRIR2x                 3.38300              -403.68884
NTRIR2y                 0.00000              -463.38233
OBTFL_f                 0.00000                31.62450
OCTD                 0.00000                54.89640
OIVD1r                 0.05893               -28.90552
OIVD2                 0.00876               -27.70552
OIVD3                 0.22550               -27.70552
OMPDC                 2.07987                -7.43362
OPHHXy                 0.00000              -466.29640
ORNDC                 0.00000               -55.72089
ORNTAC                 0.00000               -11.30360
ORNTAr_f                 0.00000                 1.50000
ORPT_f                 2.07987                -1.50000
P5CD                 0.00000                16.48156
PAPPT2_f                 0.00000                 0.51930
PAPPT3                 0.00000                -1.50000
PAPSR                 0.00000                -5.07244
PC                 0.00000                 7.25652
PDHbr_f                 0.00000                -3.50000
PDHcr                 0.00000                44.15640
PEPC_f                 0.00000                 1.50000
PPTT                 0.00000               -45.07550
PRAGS                 0.00000               -17.94708
PRAI_f                 0.00187                -9.80000
PRASCS                 0.00000              -102.07158
PRMICIi_f                 0.00312               -45.42450
PROabc                 0.00000               -19.21708
PSERT                 0.00000                37.82089
PTPATi                 0.00002               -33.98102
PTRCabc                 0.00000               -19.21708
PUTA3_f                 0.00000                 1.50000
PYK3_f                 0.00000                -7.75652
PYRZAM                 0.00000                 4.59407
RAFH_f                 0.00000               -24.10000
RBFSb                 0.00001               -28.75101
RE0453C_f                 0.00000                -1.50000
RETOx_f                 0.00000                14.83190
RHCCE                 0.00001               -45.28708
RIBabc                 0.00000               -19.21708
RIBabc2                 0.00000               -19.21708
RNDR1                 0.02501               -35.23448
RNDR2                 0.00000               -62.95898
RNDR3                 0.01711               -30.83448
RNDR4                 0.00000               -72.95898
RNTR1                 0.00067               -67.65898
RNTR2                 0.00000               -97.28348
