reaction   FLUX    DeltaG
DHQD_b                 0.00000                 1.50000
DPR_b                 0.00002               -42.89640
DRPAr_b                 0.04477                -1.50000
DTMPK_b                 0.00000                37.92450
E4PD_b                 0.00000                35.12450
ECOAH1_b                 0.00000                -8.43742
ECOAH3_b                 0.00000                -5.53742
ECOAH7_b                 0.00000                -5.53742
EHGLAT_b                 0.00000               -17.12089
FBA2_b                 0.00000               -41.93742
FBA3_b                 0.00000                 1.50000
FDFP_b                 0.00000               123.37550
FERO_b                 0.00014               -47.51132
FF_26_b                 0.00000                39.20000
FRUpts_b                 0.00000                41.40000
G1SAT_b                 0.00269               -44.62450
G3PD2_b                 0.45618               -34.95292
G6PDH2r_b                 0.00000                 1.50000
GAL6PI_b                 0.00000                 1.50000
GALKr_b                 0.00000                35.14348
GALpts_b                 0.00000                43.60000
GALTpts_b                 0.00000                43.20000
GAMpts_b                 0.00000                31.30000
GARFT_b                 0.00000               -17.98102
GF6PTAr_b                 0.00000                14.69394
GHMT2r_b                 0.03071               -14.62810
GK1_b                 0.00000                36.52450
GLCOAD_b                 0.00000               -16.30000
GLTPD_b                 0.00000               -20.03190
GLUR_b                 0.00000                 1.50000
GLXO1_b                 0.00000                16.62450
GLYALDDr_b                 0.00000                40.32450
GLYD_b                 0.00000                35.13190
GUI1_b                 0.00000                -0.60000
HACD1_b                 0.00000               -19.83190
HACD2_b                 0.00000               -22.43190
HACD3_b                 0.00000               -22.53190
HACD4_b                 0.00000               -22.53190
HACD5_b                 0.00000               -22.53190
HACD6_b                 0.00000               -22.53190
HACD7_b                 0.00000                22.53190
HACD9_b                 0.00000               -22.53190
HADPCOADH3_b                 0.00000               -22.53190
HCO3E_b                 0.00000                 1.50000
HIBD_b                 0.00000               -24.93190
HISabc_b                 0.00000                19.21708
HISDr_b                 0.00000               -27.43148
HSDy_b                 0.00506               -46.39640
HSTPTr_b                 0.00312               -36.64159
ICHORS_b                 0.00000                -0.90000
ILETA_b                 0.00000                13.90360
IMACTD_b                 0.00000                26.92450
IMPC_b                 0.00312                -1.50000
IPDDI_b                 0.00000                 4.80000
IPPMIa_b                 0.00000                -2.23742
IPPMIb_b                 0.00000                -6.33742
LACpts_b                 0.00000                42.40000
LDH_D_b                 0.00000               -27.23190
LDH_L_b                12.73292               -30.33190
LEUTA_b                 0.00000                 7.70360
MALT_b                 0.00000                14.20000
MALTpts_b                 0.00000                38.80000
MANAO_b                 0.00000               -20.43190
MANpts_b                 0.00000                44.00000
MNLpts_b                 0.00000                42.50000
MTHFC_b                 0.00000                 1.50000
MTHFD_b                 0.00000                 1.50000
NA6PH_b                 0.00000                 3.20000
NAPRTr_b                 0.00009               -33.08102
NBAH_b                 0.00000                 0.30000
NDPK1_b                 0.00000                 2.00000
NDPK2_b                 0.00000                 1.50000
NDPK3_b                 0.00000                35.32450
NDPK4_b                 0.00000                33.32450
NDPK5_b                 0.00000                36.32450
NDPK6_b                 0.00000                36.62450
NDPK7_b                 0.00000                33.42450
NDPK8_b                 0.00000                31.92450
NO3R2_b                 0.00000                93.79835
NPHSr_b                 0.00000               102.06258
OBTFL_b                 0.00000               -31.62450
ORNTAr_b                 3.14569                -1.50000
ORPT_b                 0.00000                 1.50000
PAPPT2_b                 0.00000                -0.51930
PDHbr_b                 0.00000                 3.50000
PEPC_b                 1.75574                -1.50000
PGAMT_b                 0.16796                -1.50000
PGCDr_b                 0.00000               -28.15448
PGLer_b                 0.00000               -19.96810
PGMT_b                 0.11919                -1.50000
PMANM_b                 0.00000               -40.12450
PPM_b                 0.00000                13.80000
PPM2_b                 0.04477                -1.50000
PRAI_b                 0.00000                 9.80000
PRMICIi_b                 0.00000                45.42450
PUTA3_b                 3.14569                -1.50000
PYK3_b                 0.00000                 7.75652
RAFH_b                 0.00000                24.10000
RE0453C_b                 0.00000                 1.50000
RETOx_b                 0.00000               -14.83190
RPE_b                 0.00000                 1.80606
RPI_b                 3.14211                -4.40000
RSLML_b                 0.00000               -29.43742
S7PIr_b                 0.00000                -0.60606
SBTpts_b                 0.00000                45.30000
SERAT_b                 0.00000                54.62450
SHK3Dr_b                 0.01253               -66.98348
SUCpts_b                 0.00000                48.70000
TALA_b                 5.61681                -1.50000
TGBPA_b                 0.00000               -34.83742
THRAr_b                 0.00835               -20.50552
TKT1_b                 0.95171                -1.50000
TKT2_b                 0.93919                -7.80000
TMDPP_b                 0.00000                23.09088
TPI_b                 6.11234                -1.50000
TREpts_b                 0.00000                50.10000
TRSARr_b                 0.00000                36.73190
TYRTA_b                 0.00454               -63.64539
UAG2E_b                 0.00000                 1.50000
UAG4E_b                 0.00000                 1.50000
UDNDMx_b                 0.00000                39.71710
UDPG4E_b                 0.00000                -1.30000
UGLT_b                 0.00000               -10.19640
UMPK_b                 0.00000                54.99088
UPPDC2_b                 0.00000                48.80000
UPPRTr_b                 0.02469                -1.50000
URCN_b                 0.00000               -15.63742
VALTA_b                 0.09194               -29.32089
XYLOD_b                 0.00000               -12.83190
